Date,Open,High,Low,Close,Volume,Adj Close
2014-05-21,38.08,38.50,37.98,38.13,29200,37.93
2014-05-20,38.55,38.63,37.81,38.03,53600,37.83
2014-05-19,37.94,38.69,37.92,38.62,125900,38.42
2014-05-16,38.13,38.23,37.57,38.18,29800,37.98
2014-05-15,38.49,38.56,37.55,38.10,63900,37.90
2014-05-14,38.59,39.08,38.46,38.53,37700,38.33
2014-05-13,39.01,39.17,38.62,38.62,60800,38.42
2014-05-12,38.49,39.09,38.32,39.01,73500,38.80
2014-05-09,38.11,38.56,37.70,38.37,48300,38.17
2014-05-08,38.63,39.47,38.15,38.15,57200,37.95
2014-05-07,39.28,39.28,38.15,38.79,52400,38.58
2014-05-06,39.73,39.94,39.11,39.14,42100,38.93
2014-05-05,38.83,39.87,38.68,39.78,43900,39.57
2014-05-02,39.97,39.97,39.08,39.29,42700,39.08
2014-05-01,39.91,40.31,39.24,39.83,60900,39.62
2014-04-30,39.56,39.71,38.95,39.69,55900,39.48
2014-04-29,38.83,39.84,38.65,39.58,89600,39.37
2014-04-28,38.81,39.40,37.63,38.58,76400,38.38
2014-04-25,39.67,39.76,38.52,38.64,229800,38.44
2014-04-24,40.53,40.86,39.21,40.03,80400,39.82
2014-04-23,40.94,40.94,40.02,40.21,58700,40.00
2014-04-22,40.00,41.00,40.00,40.79,164400,40.57
2014-04-21,39.29,39.61,38.92,39.61,76400,39.40
2014-04-17,39.11,39.70,38.84,39.13,52500,38.92
2014-04-16,38.92,39.36,38.65,39.20,66700,38.99
2014-04-15,38.29,38.74,36.88,38.48,130300,38.28
2014-04-14,38.06,38.95,37.44,38.09,203100,37.89
2014-04-11,38.48,39.58,37.85,37.85,212200,37.65
2014-04-10,41.30,41.30,38.76,39.10,233700,38.89
2014-04-09,40.12,41.34,40.12,41.34,79700,41.12
2014-04-08,40.06,40.40,39.19,40.04,165800,39.83
2014-04-07,39.62,40.45,39.27,40.01,321400,39.80
2014-04-04,41.78,41.99,39.65,39.88,351000,39.67
2014-04-03,42.55,42.63,41.05,41.54,220500,41.32
2014-04-02,43.04,43.13,42.13,42.53,91400,42.30
2014-04-01,41.96,43.01,41.88,42.63,132800,42.40
2014-03-31,40.66,41.69,40.66,41.63,307900,41.41
2014-03-28,41.60,41.96,40.44,40.48,235100,40.27
2014-03-27,41.36,42.00,40.48,41.59,181700,41.37
2014-03-26,42.49,42.89,41.43,41.44,109400,41.22
2014-03-25,42.45,43.19,41.65,42.20,263100,41.98
2014-03-24,43.64,43.64,41.08,42.28,639100,42.06
2014-03-21,45.26,45.26,43.27,43.33,346500,43.10
2014-03-20,45.12,45.29,44.76,44.95,59300,44.71
2014-03-19,45.63,45.79,44.97,45.26,91900,45.02
2014-03-18,44.63,45.58,44.60,45.58,107400,45.34
2014-03-17,45.02,45.32,44.44,44.55,78200,44.31
2014-03-14,44.29,44.83,44.10,44.46,67100,44.22
2014-03-13,46.11,46.11,44.34,44.69,124300,44.45
2014-03-12,45.05,45.73,44.86,45.69,75100,45.45
2014-03-11,45.99,45.99,45.13,45.33,87900,45.09
2014-03-10,45.64,45.81,45.13,45.78,82700,45.54
2014-03-07,46.20,46.26,44.92,45.64,125900,45.40
2014-03-06,46.80,46.89,45.52,45.80,135700,45.56
2014-03-05,46.63,46.67,46.20,46.43,103900,46.18
2014-03-04,46.11,46.65,46.06,46.52,124200,46.27
2014-03-03,44.46,45.26,44.04,45.15,164000,44.91
2014-02-28,46.32,46.42,44.58,45.15,242000,44.91
2014-02-27,46.58,46.64,45.94,46.32,141400,46.07
2014-02-26,46.77,46.84,46.22,46.36,186700,46.11
2014-02-25,46.96,46.96,46.14,46.50,392100,46.25
2014-02-24,46.56,46.98,46.35,46.65,248900,46.40
2014-02-21,45.79,46.63,45.68,46.14,258100,45.90
2014-02-20,44.69,45.51,44.37,45.49,256300,45.25
2014-02-19,45.22,45.31,44.55,44.66,189000,44.42
2014-02-18,44.18,45.05,44.18,44.98,267500,44.74
2014-02-14,44.08,44.43,43.76,43.99,177100,43.76
2014-02-13,43.27,44.22,43.21,44.20,236300,43.97
2014-02-12,43.93,43.93,43.20,43.59,244900,43.36
2014-02-11,42.80,43.25,42.62,43.14,171400,42.91
2014-02-10,42.01,42.36,41.60,42.36,135400,42.14
2014-02-07,40.86,41.74,40.53,41.74,132400,41.52
2014-02-06,40.56,40.86,40.28,40.49,579000,40.28
2014-02-05,41.09,41.09,39.80,40.32,131300,40.11
2014-02-04,40.90,41.30,40.82,41.06,108600,40.84
2014-02-03,42.12,42.13,40.46,40.63,169800,40.41
2014-01-31,42.00,42.37,41.53,41.96,153200,41.74
2014-01-30,41.84,42.66,41.78,42.42,133400,42.20
2014-01-29,40.89,41.68,40.58,41.05,90600,40.83
2014-01-28,40.49,41.40,40.49,41.24,167400,41.02
2014-01-27,41.18,41.18,39.63,40.27,201700,40.06
2014-01-24,42.03,42.05,41.01,41.14,345800,40.92
2014-01-23,42.49,42.52,41.97,42.43,311100,42.21
